state,year,government,gdp_pc,v2x_polyarchy,wdi_primhc,v2x_execonst,v2x_corruption,v2x_judindep,gdp_growth_rate,v2x_polyarchy_growth_rate,v2x_corruption_growth_rate,v2x_execonst_growth_rate,v2x_judindep_growth_rate,wdi_primhc_growth_rate,gdp_tot_growth,v2x_polyarchy_tot_growth,v2x_corruption_tot_growth,v2x_execonst_tot_growth,v2x_judindep_tot_growth,wdi_primhc_tot_growth,wp_accidents,riots,worker_strikes
The North,300,monarchy,9955.241336995425,0.8627723911237487,92.82098124430594,0.5255711122676608,0.42116559794366953,0.7968491459937815,-0.08457767348736525,-0.02287556542735545,-0.07208507852465845,-0.03908590791816823,-0.08900728777959012,-0.04764161118795164,1.3921214898050118,1.6278724360825447,1.8304940393775444,1.8243307942881797,1.6187096884562733,1.1103835506308752,36,0,5
The North,301,monarchy,9353.474763294416,0.7961055118385978,92.6320357083202,0.4760400312363278,0.4021685288540081,0.7293326172550577,-0.06044721100479364,-0.07727052925084718,-0.04510593738523311,-0.09424239627178758,-0.08472937327995897,-0.00203559080557897,1.3079716283664604,1.5020858713935807,1.7479278898533386,1.6524014886420482,1.4815574310311754,1.1081232640845449,37,4,6
The North,302,monarchy,9585.106595258683,0.7898998451025744,92.5029486782789,0.4293428548516326,0.3821695094766932,0.68158442047434,0.02476425476372241,-0.00779503048746846,-0.04972795716836117,-0.0980950620127842,-0.06546834140014834,-0.00139354629372246,1.3403625709950482,1.4903770662312723,1.6610070066133278,1.4903090621436896,1.3845623233324995,1.106579043016892,37,0,12
The North,303,monarchy,9093.867018882922,0.7313948995620605,92.0820247267955,0.4040351078582318,0.3476577254132078,0.6465080123468209,-0.05125029873102903,-0.07406628309050575,-0.09030491236923265,-0.05894530841126107,-0.05146304268972017,-0.00455038414988666,1.2716685888236618,1.3799903765321897,1.5110099144364295,1.402462334847533,1.3133085333802612,1.1015436832789514,33,2,3
The North,304,monarchy,8850.434698957313,0.7125330055783204,93.39845424979475,0.39720557521877936,0.33132036084116556,0.636071721671305,-0.02676884535700083,-0.02578893289389088,-0.0469926694498863,-0.01690331485215573,-0.01614255427033639,0.01429627038398757,1.2376274890240857,1.3444018973175855,1.4400035249918175,1.3787560724333152,1.2921083791064745,1.1172916496148806,37,0,4
The North,305,monarchy,8501.663049210925,0.6723859110479545,92.08637134379644,0.36162469717928586,0.3023151810083786,0.6274786826710576,-0.03940729033201933,-0.0563441892741248,-0.08754421176877805,-0.08957799250399694,-0.0135095441401936,-0.01404822934744879,1.1888559432412256,1.268652662354631,1.313939551452147,1.2552498713120437,1.2746525839250216,1.1015956802731013,34,5,0
The North,306,monarchy,8208.290912882638,0.6568541547657758,91.8151517516055,0.3386385886174908,0.2809010946957757,0.5993909295534717,-0.03450761746615172,-0.02309946717647834,-0.07083364534052089,-0.06356343673728407,-0.04476288022729568,-0.00294527396652847,1.1478313571294965,1.2393474618222184,1.2208684232657023,1.1754618755274169,1.2175954629793728,1.0983511791943528,31,29,0
The North,307,monarchy,8348.784841024282,0.6145768894514351,88.91362465065151,0.31739019090343457,0.26918898530770125,0.5659688039165833,0.01711610000580549,-0.06436324564227834,-0.04169478015298954,-0.0627465339989867,-0.05576014582300558,-0.03160183309181593,1.1674777534279244,1.1595790367008207,1.169964582761912,1.101705716990123,1.149702162410213,1.0636412685532537,31,3,14
The North,308,monarchy,7716.202936374194,0.5621639710131884,84.87051057727314,0.30487542689113206,0.2424487837843838,0.539726326699399,-0.07576933849602938,-0.08528293096902781,-0.09933616523258389,-0.03943021672056056,-0.04636735635530203,-0.04547237939364277,1.07901873634186,1.0606867377607327,1.0537447876524035,1.058265221806922,1.096393512543277,1.0152749692508647,24,18,12
The North,309,monarchy,7151.129703765875,0.53,83.59362059314441,0.2880898101995417,0.2300830206947224,0.49227427974050025,-0.0732320335879922,-0.05721457203174941,-0.05100360949081369,-0.05505729622999206,-0.08791871845326386,-0.01504515497130341,1,1,1,1,1,1,32,9,4
The Vale,300,monarchy,19407.873343335898,0.5578881043664631,127.10435122911107,0.02739327851890541,1.21778365734972,0.9075895980463278,-0.07477144222706557,-0.03738765513524413,-0.07599063095869496,-0.07988942108117045,-0.03684927303344011,-0.01319413805613294,1.6833233820543347,1.859627014554877,1.9662262268182151,1.8093314389688868,1.8229203441899464,1.240333710347906,146,1,21
The Vale,301,monarchy,19494.149687238856,0.5242982217813159,126.67347468108233,0.02653149452482178,1.1117436113466146,0.8337958695521301,0.0044454300776124,-0.06020899589406327,-0.08707625969778747,-0.03145968794822693,-0.08130737577099353,-0.00338994333287701,1.6908064784472674,1.747660739271053,1.7950146012671917,1.7524104365040092,1.674703474764306,1.2361290493559696,97,44,7
The Vale,302,monarchy,18077.328811089817,0.48814993258899553,121.02607619663652,0.02495425591450323,1.006903664058863,0.7554629861403436,-0.07267928577959538,-0.06894604576285929,-0.0943022709712386,-0.05944778605829924,-0.09394731525098904,-0.04458232868928463,1.567919871202207,1.6271664419633185,1.6257406479411631,1.6482335157883878,1.5173695794686968,1.1810195377752086,98,2,0
The Vale,303,monarchy,16595.647437256426,0.46711408402247234,119.6721839486834,0.0235836341239671,0.9457347366402544,0.7301135991620364,-0.08196351293474437,-0.04309300721390172,-0.06074953305069357,-0.05492537205806002,-0.03355477031087503,-0.0111867813160643,1.4394076505582822,1.5570469467415746,1.5269776627172056,1.5577036766951464,1.4664545917529157,1.167807730476118,77,1,23
The Vale,304,monarchy,16758.687373818128,0.4303973480583101,119.21951240525304,0.02258188207481351,0.9087972598441716,0.7012616409975707,0.00982425887137651,-0.07860335883684456,-0.03905691032065078,-0.04247657692991197,-0.03951708090025931,-0.00378259615972638,1.4535487639388067,1.4346578268610335,1.4673386330828226,1.4915377566379984,1.408504587014059,1.1633903854395202,69,1,14
The Vale,305,monarchy,15721.697020304038,0.4046577944472806,116.3232284248524,0.02079547241158174,0.8252418684598501,0.6462974142481275,-0.06187777899205685,-0.05980416405247524,-0.0919406286487356,-0.07910809459164739,-0.07837905788095668,-0.02429370764875784,1.363606394769624,1.348859314824269,1.3324305967166117,1.373545046698866,1.298107324462891,1.135127319534277,75,1,4
The Vale,306,monarchy,14749.051608516056,0.3756234381168474,111.67061373644952,0.01907193139358995,0.7527682914915176,0.6126014453041384,-0.06186643913388252,-0.07175039435504005,-0.08782101313350722,-0.08288058976875619,-0.05213693912606686,-0.03999729676870629,1.279244922745036,1.252078127056158,1.215415191782875,1.2597048231545105,1.2304279819082675,1.0897252952645982,62,9,0
The Vale,307,monarchy,13847.790400232594,0.3459244151068958,108.57020829555964,0.01816075829158614,0.6893496272251625,0.5622595503510405,-0.0611063838005066,-0.07906594742555172,-0.08424725773278624,-0.04777560715796426,-0.08217723829904572,-0.02776384347816929,1.2010748915209284,1.1530813836896527,1.1130197948683993,1.1995216603884875,1.129314808429178,1.05947033273267,67,13,49
The Vale,308,monarchy,12767.39830085141,0.316769112425491,107.60689749505048,0.01635275119173443,0.64579654092484,0.5427646272874083,-0.07801909677684307,-0.08428229233948514,-0.06317996642086655,-0.0995557052642107,-0.03467246230226011,-0.00887269920203834,1.1073681133231208,1.055897041418303,1.0426992416028542,1.080102435508815,1.090158683306533,1.0500699711568495,60,2,34
The Vale,309,monarchy,11529.497867278746,0.3,102.47593060536838,0.01514000029453778,0.6193507342847119,0.4978767179482187,-0.0969579239562154,-0.0529379657539539,-0.0409506786800921,-0.07416188768344001,-0.08270234846277164,-0.04768250929191708,1,1,1,1,1,1,49,26,20
The Iron Islands,300,monarchy,11428.707212186348,0.05952882983115972,54.72542981755732,0.00258422811381692,0.9106592736419092,0.9638318359951012,-0.07445398632436992,-0.0861568033741787,-0.06126725438865833,-0.09571297680400312,-0.06018238310934975,-0.03169760446320287,1.0176207428861936,1.9842943277053229,2.158441992618612,2.2125127749096505,2.198149226073609,1.449972223048198,73,34,2
The Iron Islands,301,monarchy,11461.03301177287,0.056020454564257,52.48979958619483,0.00233047008378695,0.8569633046134302,0.8754563229008916,0.00282847385853528,-0.05893573377560823,-0.05896384145272895,-0.09819490341166966,-0.09169183854875156,-0.04085176194715313,1.0204990565553504,1.867348485475232,2.031171961180936,1.995255296680312,1.9965968821304043,1.3907383029622484,77,7,2
The Iron Islands,302,monarchy,11290.17571353292,0.05156558956155091,50.14348224185678,0.00218508362036227,0.7913213809338868,0.7893505020360044,-0.01490767002105712,-0.07952211450901814,-0.07659828994562849,-0.06238503743777982,-0.09835535892820918,-0.04470044394978322,1.0052857933634234,1.7188529853850292,1.875587662368968,1.8707812202989824,1.8002208791535257,1.328571683401868,56,56,5
The Iron Islands,303,monarchy,11626.418919492757,0.04799238675693926,47.64268107910292,0.0020569246455618,0.7141940013050947,0.7211667154717941,0.02978192850947381,-0.06929432660411111,-0.09746656856127084,-0.05865174843021668,-0.08637960752332584,-0.04987290572864004,1.0352251429929624,1.5997462252313075,1.6927805688820092,1.7610566307980324,1.6447185061569474,1.262311953081826,68,21,1
The Iron Islands,304,monarchy,11744.538105688487,0.04424344184104534,46.193818813595684,0.00187379336497379,0.6551908605761891,0.6568528884366674,0.0101595501601696,-0.07811540890601464,-0.08261500463611446,-0.0890315943188034,-0.08918024869333022,-0.03041101450822315,1.0457425647602685,1.4747813947015105,1.5529314943358976,1.6042669512723833,1.4980421007473483,1.223923765962751,64,18,3
The Iron Islands,305,monarchy,10896.2156722042,0.04069944832799843,44.26101886216083,0.00169080229170505,0.6031580362884266,0.6052098817674074,-0.07223123002797366,-0.08010212057596072,-0.0794162852668669,-0.09765808583237232,-0.07862187649379485,-0.04184109478443861,0.9702072930150262,1.3566482775999469,1.429603443781816,1.447597311646987,1.3802632197198854,1.1727134556621766,57,6,17
The Iron Islands,306,monarchy,11526.448544661209,0.03793345710314679,42.4360567136627,0.00154546149975752,0.5549569799158525,0.5628666977088455,0.05783961068838833,-0.06796139354421757,-0.07991447261348367,-0.08595966107957065,-0.06996446246863343,-0.04123181515955366,1.0263237051300504,1.264448570104892,1.3153574385255722,1.323162337358114,1.2836938454869582,1.1243603512231923,53,7,0
The Iron Islands,307,monarchy,11727.576563450217,0.03482621139242061,41.25222650582656,0.00140539879896348,0.5045161064337844,0.5250482695692279,0.01744926184415816,-0.08191306429775431,-0.09089150205790066,-0.09062839858257211,-0.06718896018108353,-0.02789680049265734,1.0442322961977313,1.1608737130806863,1.1958026251949505,1.203246253658575,1.197443790817833,1.092994294823265,43,54,3
The Iron Islands,308,monarchy,12312.807863956356,0.03267964140540054,39.31266428322139,0.00128962379407803,0.4639985895174634,0.4783844021354608,0.04990215133875608,-0.06163662084378302,-0.0803096598892007,-0.08237875610170886,-0.08887538563273847,-0.04701715245191008,1.0963417342754072,1.0893213801800177,1.0997681230709304,1.1041243239981404,1.09102051213537,1.0416048154344917,58,17,11
The Iron Islands,309,monarchy,11230.811962197282,0.03000000000000002,37.742398749205705,0.00116800596277798,0.4219058361337297,0.4384742512303055,-0.08787564247846603,-0.08199727078271099,-0.09071741667902096,-0.09430489097558892,-0.08342694855225273,-0.03994299451960251,1,1,1,1,1,1,38,0,30
The Riverlands,300,monarchy,14859.57553723784,0.370105433261352,82.78102606087754,0.07797137720145705,0.7287721561319518,1.1626784607101095,-0.05935916036367417,-0.08072167162992991,-0.05855344055150635,-0.0756349677061662,-0.06404946092306636,-0.02971123374043963,1.0118424680117295,1.9479233329544845,1.866247397060422,1.98124347547741,1.9191235099691448,1.2529094338804958,73,9,2
The Riverlands,301,monarchy,15007.190158743828,0.33668804362042,80.25854931183238,0.07202717730324232,0.6890647079573876,1.0831547329852127,0.00993397295475005,-0.09029154029558412,-0.05448540787468664,-0.07623566636326723,-0.0683970077817794,-0.03047167773917317,1.0218940837234258,1.7720423348443155,1.7645641464365127,1.830202058896514,1.7878612043235893,1.2147311813749193,60,3,1
The Riverlands,302,monarchy,15655.42158651254,0.32167421555749,78.48215995667087,0.06584120411011714,0.625990165804876,1.037555821870776,0.04319472339004276,-0.04459269744623452,-0.09153645720658823,-0.08588387640239671,-0.04209824296180158,-0.02213333495799451,1.0660345160037803,1.6930221871446842,1.603042195957947,1.6730172114788338,1.7125953889619958,1.1878451292536278,39,35,8
The Riverlands,303,monarchy,15311.244877472109,0.29952966806041437,77.21381147985285,0.06220837138809995,0.5818126037229298,0.9502648219850072,-0.02198450595140458,-0.06884153726371005,-0.07057229409529828,-0.05517567260679788,-0.08413137688185088,-0.01616097820852882,1.0425982738422923,1.5764719371600755,1.48991183065763,1.5807073615527396,1.5685123808471142,1.168648390004653,47,19,0
The Riverlands,304,monarchy,14114.502040113208,0.2866712595216814,74.17913981670057,0.05827289867586074,0.5516984638959463,0.8817196749119957,-0.07816104091703892,-0.04292866420210339,-0.05175917406100779,-0.06326275104819797,-0.07213267868827097,-0.03930218706978485,0.961107707500471,1.5087961027456915,1.4127952248790667,1.4807074652587748,1.4553713812608944,1.122717952361887,44,6,10
The Riverlands,305,monarchy,14734.091690345496,0.2640509595060342,72.48740059369428,0.05526986964632014,0.523357539088959,0.8262865170770305,0.0438973793387413,-0.07890675909887068,-0.05137031668866984,-0.05153388792695477,-0.06286936700204387,-0.02280613157805055,1.0032978171220073,1.3897418921370222,1.3402194867607886,1.4044008526915237,1.3638731037681315,1.0971130990152824,40,17,10
